t,Va,Vb
-0.0182199981,2.5599999,2.3999999
-0.0181999989,2.48,2.48
-0.0181799978,2.48,2.72000003
-0.0181599986,2.48,2.48
-0.0181399994,2.48,2.5599999
-0.0181199983,2.5599999,2.79999995
-0.0180999991,2.5599999,2.5599999
-0.018079998,2.48,2.72000003
-0.0180599988,2.5599999,2.48
-0.0180399995,2.48,2.3999999
-0.0180199984,2.5599999,2.72000003
-0.0179999992,2.5599999,2.6399999
-0.0179799981,2.48,2.6399999
-0.0179599989,2.48,2.6399999
-0.0179399978,2.5599999,2.3199999
-0.0179199986,2.48,2.6399999
-0.0178999994,2.5599999,2.5599999
-0.0178799983,2.48,2.6399999
-0.0178599991,2.5599999,2.72000003
-0.017839998,2.5599999,2.5599999
-0.0178199988,2.48,2.48
-0.0177999996,2.48,2.48
-0.0177799985,2.48,2.48
-0.0177599993,2.48,2.48
-0.0177399982,2.5599999,2.87999988
-0.017719999,2.48,2.3999999
-0.0176999979,2.5599999,2.48
-0.0176799987,2.5599999,2.5599999
-0.0176599994,2.48,2.48
-0.0176399983,2.48,2.48
-0.0176199991,2.48,2.48
-0.017599998,2.48,2.48
-0.0175799988,2.5599999,2.48
-0.0175599996,2.5599999,2.3999999
-0.0175399985,2.5599999,2.5599999
-0.0175199993,2.5599999,2.6399999
-0.0174999982,2.48,2.87999988
-0.017479999,2.48,2.48
-0.0174599979,2.48,2.48
-0.0174399987,2.5599999,2.48
-0.0174199995,2.5599999,2.72000003
-0.0173999984,2.5599999,2.72000003
-0.0173799992,2.48,2.5599999
-0.0173599981,2.5599999,2.72000003
-0.0173399989,2.48,2.5599999
-0.0173199996,2.5599999,2.6399999
-0.0172999986,2.5599999,2.72000003
-0.0172799993,2.5599999,2.48
-0.0172599982,2.5599999,2.6399999
-0.017239999,2.48,2.5599999
-0.0172199979,2.5599999,2.87999988
-0.0171999987,2.48,2.24
-0.0171799995,2.48,2.6399999
-0.0171599984,2.6399999,2.48
-0.0171399992,2.48,2.79999995
-0.0171199981,2.5599999,2.3199999
-0.0170999989,2.48,2.3999999
-0.0170799978,2.5599999,2.6399999
-0.0170599986,2.5599999,2.48
-0.0170399994,2.48,2.24
-0.0170199983,2.5599999,2.48
-0.0169999991,2.5599999,2.5599999
-0.016979998,2.48,2.72000003
-0.0169599988,2.48,2.5599999
-0.0169399995,2.48,2.6399999
-0.0169199985,2.5599999,2.3999999
-0.0168999992,2.3999999,2.48
-0.0168799981,2.5599999,2.87999988
-0.0168599989,2.48,2.3999999
-0.0168399978,2.48,2.6399999
-0.0168199986,2.48,2.5599999
-0.0167999994,2.3999999,2.48
-0.0167799983,2.6399999,2.79999995
-0.0167599991,2.48,2.72000003
-0.016739998,2.48,2.5599999
-0.0167199988,2.48,2.48
-0.0166999996,2.48,2.24
-0.0166799985,2.48,2.48
-0.0166599993,2.3999999,2.3199999
-0.0166399982,2.5599999,2.48
-0.016619999,2.5599999,2.79999995
-0.0165999979,2.48,2.6399999
-0.0165799987,2.5599999,2.6399999
-0.0165599994,2.3999999,2.6399999
-0.0165399984,2.6399999,2.5599999
-0.0165199991,2.6399999,2.72000003
-0.016499998,2.48,2.79999995
-0.0164799988,2.5599999,2.5599999
-0.0164599996,2.6399999,2.6399999
-0.0164399985,2.5599999,2.48
-0.0164199993,2.5599999,2.5599999
-0.0163999982,2.5599999,2.48
-0.016379999,2.5599999,2.6399999
-0.0163599979,2.3999999,2.48
-0.0163399987,2.5599999,2.3999999
-0.0163199995,2.5599999,2.5599999
-0.0162999984,2.5599999,2.48
-0.0162799992,2.48,2.48
-0.0162599981,2.48,2.24
