	galaxia1	galaxiaC1
786	15587	16126
787	15599	95590
788	15608	15723
789	15625	3080646
790	15649	3670796
791	15723	15608
792	15749	15055
793	15759	15315
794	15773	2807118
795	15782	128060
796	15789	15824
797	15821	1021840
798	15824	15789
799	15850	15858
800	15857	15950
801	15858	15850
802	15869	16241
803	15917	17159
804	15941	128060
805	15950	16217
806	15966	15941
807	15967	16402
808	15971	1061467
809	15989	16057
810	16027	15917
811	16030	2741481
812	16044	16067
813	16048	16060
814	16050	128060
815	16057	15989
816	16060	16048
817	16067	16044
818	16084	16236
819	16090	961182
820	16120	16904
821	16126	16320
822	16135	16193
823	16144	1045441
824	16146	16144
825	16158	16426
826	16193	16135
827	16195	16144
828	16199	16084
829	16217	15950
830	16234	15649
831	16236	16084
832	16241	3689848
833	16267	16688
834	16289	15356
835	16317	16320
836	16320	16317
837	16383	17241
838	16402	17725
839	16423	166864
840	16426	16158
841	16477	16193
842	16494	16675
843	16553	16600
844	16567	3702322
845	16599	17430
846	16600	16553
847	16617	16761
848	16628	4080042
849	16644	5061160
850	16672	947373
851	16673	18394
852	16675	16735
853	16688	16861
854	16709	16849
855	16713	16742
856	16716	88366
857	16735	16675
858	16736	16084
859	16737	17241
860	16742	16713
861	16752	16193
862	16758	16236
863	16761	17296
864	16772	961182
865	16779	16904
866	16784	16809
867	16790	4078727
868	16808	16735
869	16809	16784
870	16826	16926
871	16849	16709
872	16850	16894
873	16861	16868
874	16868	16861
875	16874	17427
876	16875	2816456
877	16878	4078787
878	16894	16850
879	16904	16120
880	16906	4614963
881	16911	18154
882	16917	16772
883	16926	16949
884	16949	16926
885	16983	16736
886	16994	2816473
887	17015	3696338
888	17027	16199
889	17030	16894
890	17042	3700089
891	17056	17074
892	17074	924475
893	17082	17308
894	17159	15917
895	17166	178498
896	17170	18797
897	17174	4078787
898	17195	16826
899	17196	17217
900	17217	17196
901	17223	5064336
902	17229	16808
903	17240	20048
904	17241	16383
905	17243	17494
906	17248	17074
907	17296	17311
908	17301	17452
909	17304	4682085
910	17308	17082
911	17311	17296
912	17319	17407
913	17323	17494
914	17340	885859
915	17359	17378
916	17378	17359
917	17379	17423
918	17395	4682085
919	17402	17525
920	17407	17319
921	17409	885859
922	17415	17422
923	17422	17427
924	17423	17379
925	17426	14216
926	17427	17422
927	17430	21232
928	17433	3700437
929	17436	17308
930	17452	17463
931	17463	17452
932	17487	17493
933	17491	17621
934	17493	17487
935	17494	17323
936	17513	17804
937	17515	913773
938	17525	17402
939	17574	17832
940	17595	3700437
941	17597	17427
942	17608	728777
943	17609	2793431
944	17619	17402
945	17621	18315
946	17651	147818
947	17655	17891
948	17657	18487
949	17662	17595
950	17665	17702
951	17668	147828
952	17670	17608
953	17702	17665
954	17725	16402
955	17736	18121
956	17738	18557
957	17772	17872
958	17804	3703607
959	17810	18047
960	17819	16849
961	17822	16234
962	17831	17968
963	17832	17574
964	17860	18015
965	17872	18015
966	17891	17655
967	17968	17831
968	17969	18147
969	17975	18035
970	17976	18040
971	17980	17702
972	18000	4078630
973	18011	16737
974	18015	18028
975	18028	18015
976	18030	3081116
977	18035	17655
978	18040	18015
979	18047	17810
980	18066	16911
981	18087	4078630
982	18099	17657
983	18115	18147
984	18121	17736
985	18136	97136
986	18147	17969
987	18148	18602
988	18154	148020
989	18172	18601
990	18212	18213
991	18213	18212
992	18232	18765
993	18258	4078649
994	18259	18388
995	18299	2807182
996	18315	18373
997	18331	18369
998	18349	18035
999	18369	18331
1000	18373	18315
1001	18374	18878
1002	18377	18445
1003	18380	19688
1004	18388	17525
1005	18394	16673
1006	18437	18456
1007	18445	18349
1008	18453	18877
1009	18456	18437
1010	18458	97144
1011	18487	19004
1012	18488	18641
1013	18490	18601
1014	18533	825431
1015	18557	18987
1016	18581	18796
1017	18601	18490
1018	18602	18148
1019	18641	3081210
1020	18686	21210
1021	18705	76353
1022	18749	18751
1023	18751	18749
1024	18765	18883
1025	18794	18858
1026	18796	18581
1027	18797	18121
1028	18803	18804
1029	18804	18803
1030	18808	18803
1031	18812	17159
1032	18833	18835
1033	18835	18833
1034	18839	18833
1035	18848	18930
1036	18855	5057221
1037	18857	19343
1038	18858	18889
1039	18877	18453
1040	18878	18881
1041	18880	19524
1042	18881	18878
1043	18883	18765
1044	18889	18858
1045	18893	75619
1046	18894	18858
1047	18930	18848
1048	18960	17738
1049	18964	86287
1050	18965	18839
1051	18978	4076398
1052	18983	19004
1053	18987	18557
1054	19004	18983
1055	19030	19360
1056	19054	4076398
1057	19064	19397
1058	19072	136308
1059	19105	19127
1060	19119	19234
1061	19127	19105
1062	19173	19255
1063	19201	754628
1064	19234	19366
1065	19255	19265
1066	19265	19255
1067	19275	19531
1068	19279	18894
1069	19341	2807186
1070	19343	18855
1071	19355	19366
1072	19360	19030
1073	19366	19355
1074	19397	19579
1075	19402	19405
1076	19405	19402
1077	19413	19415
1078	19415	19413
1079	19417	19619
1080	19461	19518
1081	19466	19402
1082	19472	19492
1083	19476	149112
1084	19492	19472
1085	19508	326726
1086	19518	19461
1087	19522	19574
1088	19524	19508
1089	19531	19366
1090	19542	19518
1091	19551	19555
1092	19555	19551
1093	19558	4076491
1094	19562	2802336
1095	19574	76036
1096	19579	19397
1097	19583	4079713
1098	19585	19617
1099	19589	4079713
1100	19606	19996
1101	19607	19589
1102	19617	19661
1103	19619	19417
1104	19641	326726
1105	19645	19733
1106	19652	20705
1107	19661	19617
1108	19688	19899
1109	19701	19750
1110	19733	76307
1111	19750	19701
1112	19784	76179
1113	19785	76930
1114	19789	20116
1115	19804	19963
1116	19811	20046
1117	19813	19863
1118	19816	326726
1119	19841	22640
1120	19846	20491
1121	19861	19862
1122	19862	19861
1123	19863	19813
1124	19867	18557
1125	19878	20601
1126	19885	20301
1127	19899	19688
1128	19920	76307
1129	19945	3097166
1130	19963	19804
1131	19970	20363
1132	19973	20550
1133	19975	20543
1134	19985	4076491
1135	19993	20551
1136	19996	19606
1137	20008	76353
1138	20027	136560
1139	20037	20047
1140	20042	20037
1141	20044	21164
1142	20046	19811
1143	20047	20037
1144	20048	20133
1145	20049	4076537
1146	20116	19789
1147	20133	20184
1148	20184	20133
1149	20187	139004
1150	20214	19863
1151	20222	143096
1152	20249	20049
1153	20250	86602
1154	20253	20352
1155	20285	20287
1156	20287	20285
1157	20294	18965
1158	20301	19920
1159	20314	97204
1160	20317	25855
1161	20348	20398
1162	20352	20253
1163	20362	20398
1164	20363	20367
1165	20367	20363
1166	20383	20460
1167	20395	23313
1168	20398	20412
1169	20400	2802336
1170	20412	20398
1171	20416	20530
1172	20446	20592
1173	20458	21547
1174	20460	200231
1175	20477	20514
1176	20491	20677
1177	20492	2109146
1178	20504	86038
1179	20510	21203
1180	20514	139004
1181	20530	97214
1182	20531	21375
1183	20536	20543
1184	20543	20536
1185	20546	20560
1186	20547	20554
1187	20550	19973
1188	20551	20995
1189	20554	20562
1190	20556	21112
1191	20560	20546
1192	20562	20554
1193	20564	20367
1194	20573	20576
1195	20576	20573
1196	20577	20908
1197	20592	20838
1198	20601	21039
1199	20604	20844
1200	20611	21189
1201	20614	20744
1202	20620	20629
1203	20626	20629
1204	20629	20626
1205	20637	20573
1206	20640	20694
1207	20663	180413
1208	20670	77197
1209	20676	20560
1210	20677	21231
1211	20679	20705
1212	20694	20640
1213	20705	20679
1214	20717	20865
1215	20720	3442514
1216	20734	2576681
1217	20744	20629
1218	20766	21325
1219	20775	21343
1220	20825	86040
1221	20827	21511
1222	20835	20314
1223	20838	20592
1224	20844	20604
1225	20865	20717
1226	20867	76930
1227	20882	20958
1228	20884	2576681
1229	20885	20894
1230	20894	21535
1231	20903	20908
1232	20904	3098650
1233	20908	20903
1234	20914	20116
1235	20916	20249
1236	20920	21011
1237	20933	20884
1238	20948	136779
1239	20956	86052
1240	20958	20882
1241	20983	20903
1242	20995	20551
1243	21011	20676
1244	21014	21353
1245	21020	21162
1246	21028	136779
1247	21033	21164
1248	21039	20601
1249	21057	21305
1250	21062	21075
1251	21065	21230
1252	21067	20543
1253	21075	21062
1254	21076	21062
1255	21112	356525
1256	21155	21075
1257	21161	21221
1258	21162	21619
1259	21164	20044
1260	21167	150331
1261	21175	21155
1262	21189	21698
1263	21203	21660
1264	21210	23067
1265	21221	21161
1266	21230	21065
1267	21231	20677
1268	21232	17430
1269	21245	97214
1270	21271	20352
1271	21293	21466
1272	21305	21057
1273	21325	21373
1274	21334	21231
1275	21338	21360
1276	21339	21453
1277	21343	21338
1278	21353	21014
1279	21360	21338
1280	21369	21373
1281	21370	21369
1282	21373	21457
1283	21375	21703
1284	21383	22414
1285	21396	28655
1286	21429	21339
1287	21445	21453
1288	21450	21768
1289	21453	21445
1290	21457	21373
1291	21466	21293
1292	21472	21325
1293	21479	21850
1294	21488	86069
1295	21511	20827
1296	21535	20894
1297	21542	21976
1298	21547	20458
1299	21558	21567
1300	21567	21558
1301	21569	20983
1302	21582	20775
1303	21586	21775
1304	21619	21162
1305	21660	21203
1306	21666	21067
1307	21687	22319
1308	21690	21445
1309	21698	22067
1310	21703	21815
1311	21730	22377
1312	21759	21822
1313	21768	85969
1314	21775	21586
1315	21815	21703
1316	21822	21759
1317	21850	22400
1318	21854	22524
1319	21863	21886
1320	21878	21863
1321	21886	21863
1322	21952	21886
1323	21970	22941
1324	21976	22100
1325	22064	22815
1326	22067	21698
1327	22100	21976
1328	22174	24823
1329	22177	20995
1330	22192	22736
1331	22195	22306
1332	22210	23666
1333	22213	21334
1334	22232	22270
1335	22238	22660
1336	22270	22232
1337	22272	22712
1338	22289	22292
1339	22292	22289
1340	22306	22591
1341	22316	21231
1342	22319	22354
1343	22320	22955
1344	22338	21466
1345	22354	22319
1346	22377	22400
1347	22400	22377
1348	22414	4150559
1349	22524	22561
1350	22525	23040
1351	22534	24360
1352	22560	77897
1353	22561	22524
1354	22575	21567
1355	22576	22377
1356	22578	22721
1357	22591	22306
1358	22628	22561
1359	22640	24074
1360	22660	22238
1361	22712	22272
1362	22721	22578
1363	22726	23646
1364	22736	22746
1365	22739	23637
1366	22746	22808
1367	22760	22736
1368	22799	22858
1369	22808	22746
1370	22815	22064
1371	22858	22799
1372	22868	22879
1373	22873	23086
1374	22879	22868
1375	22886	21952
1376	22894	24253
1377	22941	22575
1378	22947	22067
1379	22955	22320
1380	22969	25676
1381	23020	22760
1382	23026	4174139
1383	23028	80408
1384	23040	22525
1385	23067	24001
1386	23086	22873
1387	23090	24028
1388	23091	23109
1389	23109	23091
1390	23148	21164
1391	23197	23222
1392	23214	23266
1393	23218	23304
1394	23222	23197
1395	23232	23309
1396	23234	23345
1397	23237	576609
1398	23239	23862
1399	23246	23091
1400	23262	23762
1401	23266	23273
1402	23268	23691
1403	23273	23266
1404	23291	23218
1405	23302	152355
1406	23303	23304
1407	23304	23303
1408	23309	23357
1409	23313	25065
1410	23332	23304
1411	23340	24242
1412	23345	23234
1413	23357	23309
1414	23362	24178
1415	23418	85984
1416	23437	23303
1417	23447	22377
1418	23453	23809
1419	23483	23852
1420	23498	1674543
1421	23522	23498
1422	23527	23558
1423	23540	24374
1424	23550	22858
1425	23558	23527
1426	23559	24661
1427	23579	24870
1428	23604	23732
1429	23608	24749
1430	23621	25451
1431	23637	22739
1432	23646	24012
1433	23658	23723
1434	23660	4580946
1435	23666	24229
1436	23691	23268
1437	23701	23762
1438	23704	1761618
1439	23723	23658
1440	23731	23732
1441	23732	23731
1442	23740	2807072
1443	23762	1761618
1444	23770	24001
1445	23804	24959
1446	23808	24778
1447	23809	23453
1448	23834	9002811
1449	23840	23732
1450	23852	23483
1451	23862	24012
1452	23888	24053
1453	23977	23997
1454	23997	23977
1455	23998	24004
1456	24001	24602
1457	24004	23998
1458	24012	23704
1459	24028	23090
1460	24031	24404
1461	24038	24048
1462	24039	24219
1463	24048	24038
1464	24053	23888
1465	24063	24405
1466	24074	22640
1467	24111	26218
1468	24160	24506
1469	24171	23020
1470	24178	24038
1471	24195	96409
1472	24219	24039
1473	24225	92241
1474	24229	23666
1475	24231	25069
1476	24235	25399
1477	24236	4076691
1478	24242	23340
1479	24253	22894
1480	24312	34147
1481	24337	152355
1482	24355	3094350
1483	24360	22534
1484	24370	669843
1485	24374	4074950
1486	24398	24053
1487	24402	24854
1488	24404	24688
1489	24405	81925
1490	24425	25876
1491	24429	24236
1492	24457	5064928
1493	24464	24469
1494	24469	24464
1495	24470	24829
1496	24479	153320
1497	24488	24590
1498	24489	24634
1499	24490	25874
1500	24493	4015149
1501	24506	2366989
1502	24528	9002811
1503	24530	25273
1504	24543	24590
1505	24545	25640
1506	24558	25654
1507	24588	24405
1508	24590	669843
1509	24593	96438
1510	24602	24001
1511	24619	25374
1512	24625	24236
1513	24634	24774
1514	24655	25281
1515	24661	24699
1516	24676	24590
1517	24688	24404
1518	24699	24661
1519	24711	29264
1520	24723	24760
1521	24747	24760
1522	24749	24949
1523	24760	213530
1524	24774	24634
1525	24778	24890
1526	24784	4174139
1527	24789	96409
1528	24823	22174
1529	24829	24470
1530	24840	858660
1531	24854	24885
1532	24860	24928
1533	24870	25407
1534	24872	81925
1535	24884	4014945
1536	24885	24854
1537	24890	3092484
1538	24893	25795
1539	24898	25146
1540	24913	845843
1541	24926	25029
1542	24928	24966
1543	24930	27077
1544	24947	23453
1545	24949	24749
1546	24959	25864
1547	24961	26512
1548	24966	24928
1549	24995	213563
1550	25003	25102
1551	25012	25946
1552	25024	139147
1553	25029	25067
1554	25045	25618
1555	25063	24884
1556	25065	23313
1557	25066	21305
1558	25067	25103
1559	25069	25427
1560	25075	24926
1561	25089	24860
1562	25097	25103
1563	25102	25003
1564	25103	25067
1565	25116	24676
1566	25128	24926
1567	25141	25155
1568	25146	25189
1569	25152	25189
1570	25155	25141
1571	25166	21039
1572	25167	2807073
1573	25169	26017
1574	25189	25152
1575	25202	90106
1576	25205	1317169
1577	25221	25003
1578	25231	26411
1579	25237	25910
1580	25245	25332
1581	25248	25485
1582	25257	25551
1583	25258	25781
1584	25273	25318
1585	25274	153323
1586	25281	25331
1587	25284	25281
1588	25287	25331
1589	25288	25618
1590	25291	25350
1591	25292	26218
1592	25304	25089
1593	25318	25273
1594	25324	2366508
1595	25331	25281
1596	25332	25245
1597	25350	25291
1598	25370	26096
1599	25373	27201
1600	25374	25458
1601	25376	25556
1602	25399	24178
1603	25402	25512
1604	25407	25926
1605	25408	25141
1606	25412	28667
1607	25419	27026
1608	25425	25480
1609	25427	25069
1610	25446	25467
1611	25448	27386
1612	25451	24602
1613	25453	25454
1614	25454	25458
1615	25458	25454
1616	25467	25446
1617	25480	25425
1618	25485	25248
1619	25496	25799
1620	25498	25693
1621	25503	25189
1622	25512	25545
1623	25513	25515
1624	25515	25513
1625	25525	25603
1626	25535	25480
1627	25545	25512
1628	25551	25257
1629	25556	25376
1630	25561	4189311
1631	25562	2064997
1632	25570	26151
1633	25603	25525
1634	25606	26170
1635	25618	25045
1636	25640	25915
1637	25654	27148
1638	25676	22969
1639	25690	25973
1640	25693	25498
1641	25750	25780
1642	25761	28877
1643	25780	25750
1644	25781	25258
1645	25795	25906
1646	25799	1817480
1647	25806	25940
1648	25842	25618
1649	25855	83474
1650	25861	25876
1651	25864	25964
