tiempo(s),A0(V),A1(V)
0.0266,2.463,2.454
0.0267,2.454,2.458
0.0268,2.458,2.463
0.0269,2.463,2.463
0.027,2.463,2.463
0.0271,2.473,2.439
0.0272,2.458,2.463
0.0273,2.463,2.463
0.0274,2.463,2.439
0.0275,2.458,2.444
0.0276,2.454,2.463
0.0277,2.463,2.454
0.0278,2.454,2.439
0.0279,2.439,2.439
0.028,2.439,2.439
0.0281,2.444,2.439
0.0282,2.444,2.439
0.0283,2.439,2.439
0.0284,2.429,2.439
0.0285,2.444,2.463
0.0286,2.449,2.458
0.0287,2.439,2.454
0.0288,2.444,2.454
0.0289,2.454,2.463
0.029,2.463,2.473
0.0291,2.468,2.488
0.0292,2.478,2.493
0.0293,2.483,2.517
0.0294,2.488,2.517
0.0295,2.488,2.507
0.0296,2.468,2.463
0.0297,2.454,2.439
0.0298,2.454,2.429
0.0299,2.429,2.444
0.03,2.439,2.458
0.0301,2.458,2.463
0.0302,2.463,2.483
0.0303,2.468,2.493
0.0304,2.473,2.473
0.0305,2.493,2.463
0.0306,2.478,2.473
0.0307,2.483,2.468
0.0308,2.478,2.458
0.0309,2.468,2.463
0.031,2.463,2.458
0.0311,2.444,2.463
0.0312,2.419,2.439
0.0313,2.414,2.434
0.0314,2.405,2.429
0.0315,2.41,2.429
0.0316,2.41,2.429
0.0317,2.434,2.454
0.0318,2.424,2.439
0.0319,2.429,2.439
0.032,2.419,2.405
0.0321,2.41,2.395
0.0322,2.419,2.414
0.0323,2.419,2.419
0.0324,2.434,2.414
0.0325,2.429,2.41
0.0326,2.419,2.41
0.0327,2.419,2.424
0.0328,2.424,2.419
0.0329,2.419,2.424
0.033,2.405,2.429
0.0331,2.4,2.429
0.0332,2.4,2.429
0.0333,2.405,2.429
0.0334,2.405,2.429
0.0335,2.419,2.439
0.0336,2.434,2.444
0.0337,2.439,2.429
0.0338,2.439,2.429
0.0339,2.449,2.414
0.034,2.439,2.414
0.0341,2.429,2.405
0.0342,2.429,2.38
0.0343,2.414,2.4
0.0344,0,0
0.0345,0,0
0.0346,0,0
0.0347,0,0
0.0348,0,0
0.0349,0,0
0.035,0,0
0.0351,0,0
0.0352,0,0
0.0353,0,0
0.0354,0,0
0.0355,0,0
0.0356,0,0
0.0357,0,0
0.0358,0,0
0.0359,0,0
0.036,0,0
0.0361,0,0
0.0362,0,0
0.0363,0,0
0.0364,0,0
0.0365,0,0
0.0366,0,0
0.0367,0,0
0.0368,0,0
0.0369,0,0
0.037,0,0
